lemma	docs	occurrences
здесь	35067.0	275391.0
злокачественный	455.0	753.0
безмолвствовать	599.0	920.0
пожаловаться	2161.0	3587.0
сошка	285.0	509.0
постамент	485.0	780.0
громкоговоритель	404.0	709.0
невразумительный	433.0	546.0
брюки	3007.0	8344.0
сухощавый	570.0	853.0
расправа	2035.0	3858.0
завидный	1742.0	2398.0
осесть	2437.0	4343.0
повестись	688.0	881.0
кавалерийский	1171.0	3539.0
карамель	226.0	315.0
тау	123.0	640.0
наперебой	860.0	1154.0
тракторист	514.0	1562.0
удосужиться	555.0	672.0
безрезультатно	604.0	734.0
хижина	1215.0	3694.0
конспирация	556.0	979.0
засечь	680.0	1104.0
гувернантка	787.0	2324.0
плутон	190.0	588.0
вчистую	205.0	243.0
исконно	343.0	426.0
убояться	433.0	582.0
замерзнуть	2688.0	5322.0
оборотный	1047.0	1585.0
передник	856.0	1624.0
подмышка	572.0	859.0
рынок	12136.0	42864.0
ощущать	5395.0	13496.0
изнасилование	468.0	866.0
голосок	1357.0	2669.0
рекламировать	755.0	1010.0
действительно	20002.0	83575.0
повергать	633.0	796.0
задержать	6854.0	13528.0
темень	1006.0	1632.0
поплавок	633.0	1229.0
заварушка	91.0	100.0
отстраняться	478.0	595.0
вич	254.0	1822.0
устанавливаться	2782.0	4883.0
истопить	233.0	283.0
принадлежать	14451.0	45987.0
женский	9595.0	33524.0
софа	335.0	974.0
привычка	6802.0	18532.0
конус	719.0	1523.0
захламить	256.0	299.0
комиссар	2243.0	11915.0
суша	2188.0	4280.0
посудить	945.0	1491.0
уверенность	6655.0	13756.0
предупредить	5066.0	12581.0
массивный	2049.0	3804.0
отвисать	117.0	140.0
доверить	2638.0	4485.0
допивать	571.0	729.0
выесть	431.0	529.0
пайщик	316.0	709.0
скотч	202.0	341.0
перевалиться	315.0	398.0
бобыль	350.0	621.0
выразитель	645.0	930.0
подконвойный	25.0	78.0
пятерня	501.0	717.0
тучка	605.0	957.0
мучить	4694.0	11939.0
нехороший	4363.0	11863.0
объезд	618.0	1004.0
кто-то	14611.0	75703.0
иммигрант	266.0	561.0
сиротский	622.0	1059.0
отсчет	844.0	1459.0
гуща	1983.0	3474.0
покататься	674.0	1405.0
бесполезность	568.0	699.0
происходить	22632.0	76823.0
докер	59.0	108.0
памятник	6689.0	21329.0
заложник	1238.0	2948.0
колобок	304.0	679.0
удачно	3887.0	6167.0
обнажаться	448.0	567.0
флорида	368.0	616.0
сообщение	10838.0	25635.0
массовка	286.0	532.0
напуститься	256.0	307.0
скоренько	149.0	203.0
вычерпывать	146.0	171.0
ограждать	863.0	1202.0
наскрести	269.0	309.0
развешивать	579.0	705.0
пике	442.0	625.0
мужчина	11429.0	58552.0
нагреть	1631.0	2649.0
замахать	1477.0	2583.0
бесполезно	2624.0	4181.0
ухаб	715.0	1065.0
ракушка	617.0	1057.0
плодовый	553.0	938.0
язвительный	1277.0	2086.0
колдобина	316.0	411.0
рояль	1979.0	5891.0
насмешник	353.0	451.0
подрывник	107.0	193.0
